date,year,week,day_of_week,v_name,h_name,day_night,park_id,temp,precip,capacity,prev_year_wins,made_playoffs,won_division,InstagramFollowers,CityPopulation,Payroll,PayrollStd,attendance
2005-04-08,2005,1,Fri,KC,LAA,1,Angel Stadium,65.6,0.0,45050.0,92,1,1,1200000,12927614,95017822,1.306118851,39167.0
2005-04-08,2005,1,Fri,CLE,DET,1,Comerica Park,57.5,0.0,41083.0,72,0,0,1000000,4400587,68998183,0.948451834,23294.0
2005-04-08,2005,1,Fri,CHW,MIN,1,Metrodome,,,55000.0,92,1,1,585000,3757952,56615000,0.778232096,48764.0
2005-04-08,2005,1,Fri,BAL,NYY,1,Old Yankee Stadium,63.7,0.378,56937.0,101,1,1,3900000,19940274,205938439,2.83083817,43128.0
2005-04-08,2005,1,Fri,TEX,SEA,1,Safeco Field,53.5,0.0,47943.0,63,0,0,927000,4145494,85883333,1.180555793,29652.0
2005-04-08,2005,1,Fri,OAK,TB,1,Tropicana Field,,,42735.0,70,0,0,528000,3424650,29893567,0.410918189,10223.0
2005-04-08,2005,1,Fri,BOS,TOR,1,Rogers Centre,,,49282.0,67,0,0,1700000,3026000,45336500,0.623197375,50560.0
2005-04-08,2005,1,Fri,LAD,ARI,1,Chase Field,,,48686.0,51,0,0,665000,5186958,63015834,0.866218221,25813.0
2005-04-08,2005,1,Fri,NYM,ATL,1,Turner Field,67.7,0.02,49586.0,96,1,1,1900000,6411149,85148582,1.170455876,50939.0
2005-04-08,2005,1,Fri,MIL,CHC,0,Wrigley Field,50.5,0.0,41072.0,89,0,0,1900000,9408576,87210933,1.198805037,39892.0
2005-04-08,2005,1,Fri,WSH,MIA,1,Sun Life Stadium,76.2,1.13,47662.0,83,0,0,783000,6457988,60375961,0.829930419,19327.0
2005-04-08,2005,1,Fri,CIN,HOU,1,Minute Maid Park,79.5,0.0,41168.0,92,1,0,1600000,7796182,76779022,1.055407563,36382.0
2005-04-08,2005,1,Fri,PIT,SD,1,Petco Park,61.7,0.0,42445.0,87,0,0,1400000,3298799,62888192,0.864463648,39791.0
2005-04-08,2005,1,Fri,COL,SF,1,AT&T Park,57.5,0.488,41915.0,91,0,0,1600000,4648486,89487842,1.230103521,37015.0
2005-04-08,2005,1,Fri,PHI,STL,0,Busch Stadium II,69.6,0.0,50345.0,105,1,1,1100000,2811927,93319842,1.282778349,50074.0
2005-04-09,2005,1,Sat,KC,LAA,1,Angel Stadium,67.8,0.0,45050.0,92,1,1,1200000,12927614,95017822,1.306118851,42007.0
2005-04-09,2005,1,Sat,CLE,DET,0,Comerica Park,57.9,0.0,41083.0,72,0,0,1000000,4400587,68998183,0.948451834,26037.0
2005-04-09,2005,1,Sat,CHW,MIN,1,Metrodome,,,55000.0,92,1,1,585000,3757952,56615000,0.778232096,41533.0
2005-04-09,2005,1,Sat,BAL,NYY,0,Old Yankee Stadium,59.2,0.0,56937.0,101,1,1,3900000,19940274,205938439,2.83083817,50275.0
2005-04-09,2005,1,Sat,TEX,SEA,0,Safeco Field,55.4,0.004,47943.0,63,0,0,927000,4145494,85883333,1.180555793,31501.0
2005-04-09,2005,1,Sat,OAK,TB,1,Tropicana Field,,,42735.0,70,0,0,528000,3424650,29893567,0.410918189,13536.0
2005-04-09,2005,1,Sat,BOS,TOR,0,Rogers Centre,,,49282.0,67,0,0,1700000,3026000,45336500,0.623197375,28765.0
2005-04-09,2005,1,Sat,LAD,ARI,1,Chase Field,,,48686.0,51,0,0,665000,5186958,63015834,0.866218221,30753.0
2005-04-09,2005,1,Sat,NYM,ATL,1,Turner Field,67.2,0.0,49586.0,96,1,1,1900000,6411149,85148582,1.170455876,40604.0
2005-04-09,2005,1,Sat,MIL,CHC,0,Wrigley Field,56.7,0.0,41072.0,89,0,0,1900000,9408576,87210933,1.198805037,38743.0
2005-04-09,2005,1,Sat,WSH,MIA,1,Sun Life Stadium,78.3,0.0,47662.0,83,0,0,783000,6457988,60375961,0.829930419,30739.0
2005-04-09,2005,1,Sat,CIN,HOU,1,Minute Maid Park,78.0,0.0,41168.0,92,1,0,1600000,7796182,76779022,1.055407563,34502.0
2005-04-09,2005,1,Sat,PIT,SD,1,Petco Park,60.7,0.028,42445.0,87,0,0,1400000,3298799,62888192,0.864463648,37939.0
