date,year,day_of_week,v_name,v_league,v_game_number,h_name,h_league,h_game_number,v_score,h_score,day_night,park_id,attendance,week,location,temp,precip,home team,capacity,Team,prev_year_wins,made_playoffs,won_division
2005-04-07,2005,Thu,KC,AL,3,DET,AL,3,3,7,D,Comerica Park,10463.0,1,Detroit,58.7,0.063,Tigers,41083.0,Tigers,72,0,0
2005-04-07,2005,Thu,NYM,NL,3,CIN,NL,3,1,6,D,Great American Ball Park,16048.0,1,Cincinatti,69.6,0.35,Reds,42319.0,Reds,76,0,0
2005-04-07,2005,Thu,ATL,NL,3,MIA,NL,3,4,2,N,Sun Life Stadium,19108.0,1,Miami,79.4,0.004,Marlins,47662.0,Marlins,83,0,0
2005-04-07,2005,Thu,WSH,NL,3,PHI,NL,3,5,4,D,Citizens Bank Park,21693.0,1,Philadelphia,73.8,0.122,Phillies,43651.0,Phillies,86,0,0
2005-04-07,2005,Thu,PIT,NL,3,SD,NL,3,0,1,N,Petco Park,43538.0,1,San Diego,68.8,0.0,Padres,42445.0,Padres,87,0,0
2005-04-07,2005,Thu,LAD,NL,3,SF,NL,3,6,0,N,AT&T Park,40536.0,1,San Francisco,60.4,0.354,Giants,41915.0,Giants,91,0,0
2005-04-08,2005,Fri,KC,AL,4,LAA,AL,4,6,2,N,Angel Stadium,39167.0,1,Los Angeles,65.6,0.0,Angels,45050.0,Angels,92,1,1
2005-04-08,2005,Fri,CLE,AL,4,DET,AL,4,4,3,N,Comerica Park,23294.0,1,Detroit,57.5,0.0,Tigers,41083.0,Tigers,72,0,0
2005-04-08,2005,Fri,CHW,AL,4,MIN,AL,4,5,1,N,Metrodome,48764.0,1,Minnesota,,,Twins,55000.0,Twins,92,1,1
2005-04-08,2005,Fri,BAL,AL,4,NYY,AL,4,12,5,N,Old Yankee Stadium,43128.0,1,New York,63.7,0.378,Yankees,56937.0,Yankees,101,1,1
2005-04-08,2005,Fri,TEX,AL,4,SEA,AL,4,6,9,N,Safeco Field,29652.0,1,Seattle,53.5,0.0,Mariners,47943.0,Mariners,63,0,0
2005-04-08,2005,Fri,OAK,AL,4,TB,AL,4,2,3,N,Tropicana Field,10223.0,1,Tampa Bay,,,Rays,42735.0,Rays,70,0,0
2005-04-08,2005,Fri,BOS,AL,4,TOR,AL,4,6,5,N,Rogers Centre,50560.0,1,Toronto,,,Blue Jays,49282.0,Blue Jays,67,0,0
2005-04-08,2005,Fri,LAD,NL,4,ARI,NL,4,8,7,N,Chase Field,25813.0,1,Arizona,,,Diamondbacks,48686.0,Diamondbacks,51,0,0
2005-04-08,2005,Fri,NYM,NL,4,ATL,NL,4,1,3,N,Turner Field,50939.0,1,Atlanta,67.7,0.02,Braves,49586.0,Braves,96,1,1
2005-04-08,2005,Fri,MIL,NL,3,CHC,NL,4,6,3,D,Wrigley Field,39892.0,1,Chicago,50.5,0.0,Cubs,41072.0,Cubs,89,0,0
2005-04-08,2005,Fri,WSH,NL,4,MIA,NL,4,0,9,N,Sun Life Stadium,19327.0,1,Miami,76.2,1.13,Marlins,47662.0,Marlins,83,0,0
2005-04-08,2005,Fri,CIN,NL,4,HOU,NL,3,2,3,N,Minute Maid Park,36382.0,1,Houston,79.5,0.0,Astros,41168.0,Astros,92,1,0
2005-04-08,2005,Fri,PIT,NL,4,SD,NL,4,3,2,N,Petco Park,39791.0,1,San Diego,61.7,0.0,Padres,42445.0,Padres,87,0,0
2005-04-08,2005,Fri,COL,NL,3,SF,NL,4,8,10,N,AT&T Park,37015.0,1,San Francisco,57.5,0.488,Giants,41915.0,Giants,91,0,0
2005-04-08,2005,Fri,PHI,NL,4,STL,NL,3,5,6,D,Busch Stadium II,50074.0,1,St. Louis,69.6,0.0,Cardinals,50345.0,Cardinals,105,1,1
2005-04-09,2005,Sat,KC,AL,5,LAA,AL,5,3,8,N,Angel Stadium,42007.0,1,Los Angeles,67.8,0.0,Angels,45050.0,Angels,92,1,1
2005-04-09,2005,Sat,CLE,AL,5,DET,AL,5,1,11,D,Comerica Park,26037.0,1,Detroit,57.9,0.0,Tigers,41083.0,Tigers,72,0,0
2005-04-09,2005,Sat,CHW,AL,5,MIN,AL,5,8,5,N,Metrodome,41533.0,1,Minnesota,,,Twins,55000.0,Twins,92,1,1
2005-04-09,2005,Sat,BAL,AL,5,NYY,AL,5,5,8,D,Old Yankee Stadium,50275.0,1,New York,59.2,0.0,Yankees,56937.0,Yankees,101,1,1
2005-04-09,2005,Sat,TEX,AL,5,SEA,AL,5,7,6,D,Safeco Field,31501.0,1,Seattle,55.4,0.004,Mariners,47943.0,Mariners,63,0,0
2005-04-09,2005,Sat,OAK,AL,5,TB,AL,5,2,11,N,Tropicana Field,13536.0,1,Tampa Bay,,,Rays,42735.0,Rays,70,0,0
2005-04-09,2005,Sat,BOS,AL,5,TOR,AL,5,5,12,D,Rogers Centre,28765.0,1,Toronto,,,Blue Jays,49282.0,Blue Jays,67,0,0
2005-04-09,2005,Sat,LAD,NL,5,ARI,NL,5,12,10,N,Chase Field,30753.0,1,Arizona,,,Diamondbacks,48686.0,Diamondbacks,51,0,0
2005-04-09,2005,Sat,NYM,NL,5,ATL,NL,5,3,6,N,Turner Field,40604.0,1,Atlanta,67.2,0.0,Braves,49586.0,Braves,96,1,1
2005-04-09,2005,Sat,MIL,NL,4,CHC,NL,5,0,4,D,Wrigley Field,38743.0,1,Chicago,56.7,0.0,Cubs,41072.0,Cubs,89,0,0
2005-04-09,2005,Sat,WSH,NL,5,MIA,NL,5,3,2,N,Sun Life Stadium,30739.0,1,Miami,78.3,0.0,Marlins,47662.0,Marlins,83,0,0
2005-04-09,2005,Sat,CIN,NL,5,HOU,NL,4,3,4,N,Minute Maid Park,34502.0,1,Houston,78.0,0.0,Astros,41168.0,Astros,92,1,0
2005-04-09,2005,Sat,PIT,NL,5,SD,NL,5,3,11,N,Petco Park,37939.0,1,San Diego,60.7,0.028,Padres,42445.0,Padres,87,0,0
2005-04-09,2005,Sat,COL,NL,4,SF,NL,5,2,4,D,AT&T Park,37993.0,1,San Francisco,62.3,0.063,Giants,41915.0,Giants,91,0,0
2005-04-09,2005,Sat,PHI,NL,5,STL,NL,4,10,4,D,Busch Stadium II,39242.0,1,St. Louis,74.9,0.0,Cardinals,50345.0,Cardinals,105,1,1
2005-04-10,2005,Sun,KC,AL,6,LAA,AL,6,8,3,D,Angel Stadium,40689.0,1,Los Angeles,71.1,0.0,Angels,45050.0,Angels,92,1,1
2005-04-10,2005,Sun,CLE,AL,6,DET,AL,6,7,6,D,Comerica Park,25758.0,1,Detroit,62.7,0.0,Tigers,41083.0,Tigers,72,0,0
2005-04-10,2005,Sun,CHW,AL,6,MIN,AL,6,2,5,N,Metrodome,28089.0,1,Minnesota,,,Twins,55000.0,Twins,92,1,1
2005-04-10,2005,Sun,BAL,AL,6,NYY,AL,6,7,2,D,Old Yankee Stadium,46797.0,1,New York,68.3,0.0,Yankees,56937.0,Yankees,101,1,1
2005-04-10,2005,Sun,TEX,AL,6,SEA,AL,6,7,6,D,Safeco Field,30434.0,1,Seattle,53.6,0.22,Mariners,47943.0,Mariners,63,0,0
2005-04-10,2005,Sun,OAK,AL,6,TB,AL,6,6,1,D,Tropicana Field,12174.0,1,Tampa Bay,,,Rays,42735.0,Rays,70,0,0
2005-04-10,2005,Sun,BOS,AL,6,TOR,AL,6,3,4,D,Rogers Centre,22845.0,1,Toronto,,,Blue Jays,49282.0,Blue Jays,67,0,0
2005-04-10,2005,Sun,LAD,NL,6,ARI,NL,6,4,5,D,Chase Field,29796.0,1,Arizona,,,Diamondbacks,48686.0,Diamondbacks,51,0,0
2005-04-10,2005,Sun,NYM,NL,6,ATL,NL,6,6,1,D,Turner Field,36601.0,1,Atlanta,73.8,0.0,Braves,49586.0,Braves,96,1,1
2005-04-10,2005,Sun,MIL,NL,5,CHC,NL,6,5,6,D,Wrigley Field,39076.0,1,Chicago,67.0,0.0,Cubs,41072.0,Cubs,89,0,0
2005-04-10,2005,Sun,WSH,NL,6,MIA,NL,6,0,8,D,Sun Life Stadium,25089.0,1,Miami,78.8,0.0,Marlins,47662.0,Marlins,83,0,0
2005-04-10,2005,Sun,CIN,NL,6,HOU,NL,5,2,5,D,Minute Maid Park,31832.0,1,Houston,79.4,0.0,Astros,41168.0,Astros,92,1,0
2005-04-10,2005,Sun,PIT,NL,6,SD,NL,6,6,3,D,Petco Park,33521.0,1,San Diego,65.0,0.0,Padres,42445.0,Padres,87,0,0
2005-04-10,2005,Sun,COL,NL,5,SF,NL,6,4,11,D,AT&T Park,38588.0,1,San Francisco,63.4,0.0,Giants,41915.0,Giants,91,0,0
2005-04-10,2005,Sun,PHI,NL,6,STL,NL,5,13,4,D,Busch Stadium II,37971.0,1,St. Louis,79.4,0.0,Cardinals,50345.0,Cardinals,105,1,1
2005-04-11,2005,Mon,NYY,AL,7,BOS,AL,7,1,8,D,Fenway Park,33702.0,2,Boston,46.5,0.012,Red Sox,37731.0,Red Sox,98,1,0
2005-04-11,2005,Mon,CHW,AL,7,CLE,AL,7,2,1,D,Progressive Field,42461.0,2,Cleveland,55.4,0.0,Indians,43000.0,Indians,80,0,0
2005-04-11,2005,Mon,SEA,AL,7,KC,AL,7,8,2,D,Kauffman Stadium,41788.0,2,Kansas City,69.6,0.902,Royals,37903.0,Royals,58,0,0
2005-04-11,2005,Mon,TOR,AL,7,OAK,AL,7,10,3,N,Coliseum,44815.0,2,Oakland,62.2,0.0,Athletics,47170.0,Athletics,91,0,0
2005-04-11,2005,Mon,LAA,AL,7,TEX,AL,7,7,6,D,Globe Life Field,50054.0,2,Texas,72.6,0.228,Rangers,48114.0,Rangers,89,0,0
2005-04-11,2005,Mon,COL,NL,6,ARI,NL,7,0,2,N,Chase Field,18742.0,2,Arizona,,,Diamondbacks,48686.0,Diamondbacks,51,0,0
2005-04-11,2005,Mon,WSH,NL,7,ATL,NL,7,2,11,N,Turner Field,16584.0,2,Atlanta,73.7,0.0,Braves,49586.0,Braves,96,1,1
2005-04-11,2005,Mon,SD,NL,7,CHC,NL,7,1,0,D,Wrigley Field,36791.0,2,Chicago,65.8,0.0,Cubs,41072.0,Cubs,89,0,0
2005-04-11,2005,Mon,PHI,NL,7,MIA,NL,7,4,1,N,Sun Life Stadium,11416.0,2,Miami,76.2,0.0,Marlins,47662.0,Marlins,83,0,0
2005-04-11,2005,Mon,PIT,NL,7,MIL,NL,6,2,6,D,Miller Park,42458.0,1,Miluakee,,,Brewers,41900.0,Brewers,67,0,0
2005-04-11,2005,Mon,HOU,NL,6,NYM,NL,7,4,8,D,Shea Stadium,53663.0,2,New York,54.9,0.0,Mets,57333.0,Mets,71,0,0
2005-04-12,2005,Tue,DET,AL,7,MIN,AL,7,4,5,N,Metrodome,15071.0,2,Minnesota,,,Twins,55000.0,Twins,92,1,1
2005-04-12,2005,Tue,TOR,AL,8,OAK,AL,8,5,2,N,Coliseum,10106.0,2,Oakland,60.7,0.0,Athletics,47170.0,Athletics,91,0,0
2005-04-12,2005,Tue,BAL,AL,7,TB,AL,7,7,6,N,Tropicana Field,10563.0,2,Tampa Bay,,,Rays,42735.0,Rays,70,0,0
2005-04-12,2005,Tue,LAA,AL,8,TEX,AL,8,13,8,N,Globe Life Field,23061.0,2,Texas,75.5,0.0,Rangers,48114.0,Rangers,89,0,0
2005-04-12,2005,Tue,COL,NL,7,ARI,NL,8,2,4,N,Chase Field,20725.0,2,Arizona,,,Diamondbacks,48686.0,Diamondbacks,51,0,0
2005-04-12,2005,Tue,WSH,NL,8,ATL,NL,8,4,3,N,Turner Field,20122.0,2,Atlanta,71.3,0.126,Braves,49586.0,Braves,96,1,1
2005-04-12,2005,Tue,PHI,NL,8,MIA,NL,8,2,8,N,Sun Life Stadium,15129.0,2,Miami,78.5,0.0,Marlins,47662.0,Marlins,83,0,0
2005-04-12,2005,Tue,SF,NL,7,LAD,NL,7,8,9,D,Dodger Stadium,55892.0,2,Los Angeles,76.9,0.0,Dodgers,56000.0,Dodgers,93,1,1
2005-04-12,2005,Tue,PIT,NL,8,MIL,NL,7,4,2,N,Miller Park,10927.0,2,Miluakee,,,Brewers,41900.0,Brewers,67,0,0
2005-04-12,2005,Tue,CIN,NL,7,STL,NL,6,1,5,N,Busch Stadium II,33617.0,1,St. Louis,64.4,0.618,Cardinals,50345.0,Cardinals,105,1,1
2005-04-13,2005,Wed,NYY,AL,8,BOS,AL,8,5,2,N,Fenway Park,35115.0,2,Boston,48.0,0.0,Red Sox,37731.0,Red Sox,98,1,0
2005-04-13,2005,Wed,CHW,AL,8,CLE,AL,8,5,4,N,Progressive Field,14410.0,2,Cleveland,49.7,0.0,Indians,43000.0,Indians,80,0,0
2005-04-13,2005,Wed,SEA,AL,8,KC,AL,8,2,1,D,Kauffman Stadium,10577.0,2,Kansas City,62.5,0.0,Royals,37903.0,Royals,58,0,0
2005-04-13,2005,Wed,DET,AL,8,MIN,AL,8,4,8,N,Metrodome,16067.0,2,Minnesota,,,Twins,55000.0,Twins,92,1,1
2005-04-13,2005,Wed,TOR,AL,9,OAK,AL,9,3,6,N,Coliseum,15860.0,2,Oakland,56.5,0.028,Athletics,47170.0,Athletics,91,0,0
